"Year","N","Y"
"1998",185,27
"1998",141,19
"1998",81,12
"1998",168,27
"1998",64,6
"1998",194,26
"1998",177,36
"1998",84,11
"1998",105,17
"1998",106,12
"1998",116,15
"1998",125,15
"1998",82,10
"1998",125,23
"1998",170,39
"1998",74,9
"1998",58,8
"1998",116,13
"1998",220,37
"1998",122,19
"1998",120,16
"1998",141,28
"1998",86,17
"1998",93,8
"1998",91,19
"1998",144,25
"1998",105,9
"1998",114,21
"1998",119,21
"1998",69,9
"1998",106,21
"1998",118,24
"1998",140,23
"1998",119,16
"1998",73,8
"1998",57,7
"1998",101,11
"1998",114,18
"1998",104,10
"1998",85,10
"1998",90,25
"1998",46,6
"1998",92,12
"1998",51,4
"1998",76,13
"1998",36,6
"1998",80,18
"1998",29,9
"1998",108,15
"1998",52,9
"1998",92,13
"1998",52,6
"1998",127,18
"1998",118,17
"1998",87,10
"1998",46,7
"1998",121,17
"1998",60,12
"1998",126,15
"1998",62,12
"1998",166,26
"1998",131,16
"1998",116,9
"1998",36,9
"1998",76,8
"1998",69,9
"1998",109,13
"1998",140,21
"1998",73,23
"1998",127,16
"1998",118,15
"1998",69,15
"1998",59,12
"1998",78,11
"1998",70,20
"1998",43,6
"1998",78,8
"1998",94,12
"1998",54,12
"1998",45,9
"1998",96,11
"1998",107,15
"1998",76,9
"1998",86,11
"1998",126,15
"1998",85,11
"1998",48,6
"1998",112,14
"1998",83,17
"1998",171,28
"1998",70,16
"1998",88,12
"1998",204,40
"1998",112,17
"1998",129,17
"1998",114,15
"1998",51,6
"1998",101,13
"1998",127,17
"1998",155,24
"1998",113,14
"2000",188,29
"2000",139,19
"2000",89,13
"2000",192,34
"2000",57,8
"2000",184,26
"2000",150,27
"2000",87,10
"2000",100,20
"2000",94,14
"2000",92,14
"2000",123,16
"2000",91,12
"2000",115,20
"2000",166,36
"2000",80,14
"2000",77,14
"2000",112,20
"2000",230,40
"2000",121,26
"2000",101,11
"2000",154,26
"2000",95,15
"2000",83,10
"2000",85,18
"2000",136,26
"2000",83,10
"2000",119,22
"2000",112,15
"2000",72,13
"2000",94,15
"2000",104,19
"2000",130,17
"2000",92,12
"2000",62,8
"2000",76,14
"2000",87,11
"2000",127,15
"2000",87,12
"2000",88,9
"2000",86,20
"2000",56,7
"2000",81,12
"2000",52,4
"2000",60,12
"2000",47,12
"2000",71,18
"2000",39,6
"2000",92,13
"2000",63,15
"2000",83,12
"2000",65,10
"2000",100,17
"2000",122,20
"2000",131,16
"2000",41,8
"2000",119,18
